Asset_ID,Asset_Type,Asset_Name,lat,long,criticality_score,backup_asset_id,status,dependency_score,exposure_score,redundancy_score,asset_score
SW01,Sewage,WastewaterCollectionNetwork,50.739617,-1.3283103,3,SW02,working,0,0,2,5
SW02,Sewage,WastewaterCollectionNetwork,50.685999,-1.5435612,3,SW03,working,0,0,2,5
SW03,Sewage,WastewaterCollectionNetwork,50.667008,-1.1844791,3,,working,0,2,3,8
SW04,Sewage,WastewaterCollectionNetwork,50.761405,-1.2886961,3,,working,0,0,3,6
TEL01,Telecomms,TelecommunicationsExchange,50.7004870473684,-1.29812293157895,3,TEL02,working,0,2,2,7
TEL02,Telecomms,TelecommunicationsExchange,50.7570846888889,-1.54385245555556,3,TEL03,working,0,0,2,5
TEL03,Telecomms,TelecommunicationsExchange,50.6311317111111,-1.1803599,3,TEL04,working,0,2,1,6
TEL04,Telecomms,TelecommunicationsExchange,50.59622212,-1.20184453,3,,failed,0,0,3,6
TEL05,Telecomms,TelecommunicationsExchange,50.6909072933333,-1.09003987333333,3,,working,0,2,3,8
TEL06,Telecomms,TelecommunicationsExchange,50.6202854833333,-1.32056996666667,3,,failed,0,2,3,8
TEL07,Telecomms,TelecommunicationsExchange,50.730509324,-1.164575976,3,,working,0,0,3,6
TEL08,Telecomms,TelecommunicationsComplex,50.6765280272727,-1.36860885909091,3,,failed,2,0,3,8
TEL09,Telecomms,TelecommunicationsComplex,50.60311085,-1.2008778,3,,failed,2,1,3,9
TEL10,Telecomms,TelecommunicationsComplex,50.610990925,-1.23989885,3,,failed,0,2,3,8
TEL11,Telecomms,TelecommunicationsComplex,50.58645504,-1.25528264,3,,failed,1,1,3,8
TRA01,Transport-Air,Airport,50.653078,-1.1819053,2,TRA02,working,0,2,2,6
TRA02,Transport-Air,Airport,50.678218,-1.1101069,2,TRA01,working,0,2,2,6
TRB01,Transport-Bridge,Bridge,50.6205045461538,-1.27415293076923,1,,working,0,2,3,6
TRB02,Transport-Bridge,Bridge,50.7097034117647,-1.40254196470588,1,,working,0,0,3,4
TRB03,Transport-Bridge,Bridge,50.71491505,-1.22880081666667,1,,working,0,2,3,6
TRB04,Transport-Bridge,Bridge,50.7197968615385,-1.36985176153846,1,,working,0,0,3,4
TRB05,Transport-Bridge,Bridge,50.636946375,-1.36960760833333,1,,working,0,2,3,6
TRB06,Transport-Bridge,Bridge,50.64277115625,-1.39977121875,1,,working,0,2,3,6
TRB07,Transport-Bridge,Bridge,50.6671724875,-1.184764075,1,,working,0,2,3,6
TRF01,Transport-Ferry,FerryPort,50.759141,-1.2905877,3,TRF02,working,0,0,0,3
TRF02,Transport-Ferry,FerryPort,50.763106,-1.2960338,3,TRF01,working,0,0,0,3
TRF03,Transport-Ferry,FerryPort,50.733355,-1.214176,3,TRF04,working,0,0,1,4
TRF04,Transport-Ferry,FerryPort,50.733093,-1.1585777,3,TRF03,working,0,0,1,4
TRR01,Transport-Rail,RailwayStation,50.7120355,-1.1556234,2,TRR02,working,0,0,1,3
TRR02,Transport-Rail,RailwayStation,50.6778101,-1.13924,2,TRR03,working,0,2,2,6
TRR03,Transport-Rail,RailwayStation,50.6338303,-1.1800243,2,TRR04,working,0,2,2,6
TRR04,Transport-Rail,RailwayStation,50.7120853,-1.155454,2,,working,0,0,3,5
TRR05,Transport-Rail,RailwayStation,50.7049841,-1.2135358,2,,working,0,2,3,7
TRR06,Transport-Rail,RailwayJunction,50.7061094,-1.2173894,2,,working,0,2,3,7
TRR07,Transport-Rail,RailwayJunction,50.706016,-1.2177935,2,,working,0,2,3,7
TRR08,Transport-Rail,RailwayJunction,50.7375395,-1.160784,2,,working,0,0,3,5
TRR09,Transport-Rail,RailwayJunction,50.7060909,-1.2162289,2,,working,0,2,3,7
TRR10,Transport-Rail,RailwayJunction,50.7058683,-1.2157168,2,,working,0,2,3,7
VH01,VeterinaryHospital,VeterinaryHospital,50.716788175,-1.1923577,2,VH02,working,0,1,2,5
VH02,VeterinaryHospital,VeterinaryHospital,50.6853308681818,-1.29353115909091,2,VH03,working,0,2,2,6
VH03,VeterinaryHospital,VeterinaryHospital,50.7283983285714,-1.32480678571429,2,VH04,working,0,0,2,4
VH04,VeterinaryHospital,VeterinaryHospital,50.70949225,-1.391519375,2,,working,0,0,3,5
VH05,VeterinaryHospital,VeterinaryHospital,50.6290140857143,-1.18013914285714,2,,working,0,2,3,7
WS01,WaterSupply,WaterReservoir,50.678504,-1.1520667,3,WS02,failed,0,2,2,7
WS02,WaterSupply,WaterDistributionComplex,50.6189124,-1.1862705,3,WS03,working,0,1,0,4
WS03,WaterSupply,WaterDistributionComplex,50.6182785,-1.189187325,3,WS04,working,0,1,2,6
WS04,WaterSupply,WaterExtractionComplex,50.6574886789474,-1.30701547894737,3,,working,0,2,3,8
WS05,WaterSupply,WaterReservoir,50.6801954854167,-1.198740425,3,,working,0,2,3,8
