Asset_ID,Asset_Type,Asset_Name,lat,long,criticality_score,backup_asset_id,status,dependency_score,exposure_score
TEL07,Telecomms,TelecommunicationsExchange,50.730509324,-1.164575976,3,,working,0,0
TEL08,Telecomms,TelecommunicationsComplex,50.6765280272727,-1.36860885909091,3,,working,2,0
TEL09,Telecomms,TelecommunicationsComplex,50.60311085,-1.2008778,3,,working,2,1
TEL10,Telecomms,TelecommunicationsComplex,50.610990925,-1.23989885,3,,working,0,2
TEL11,Telecomms,TelecommunicationsComplex,50.58645504,-1.25528264,3,,working,1,1
PGS06,PowerGen/Substation,OilFiredPowerGenerationComplex,50.746912,-1.2862509,3,PGS07,working,2,0
PGS07,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.63418,-1.1839159,3,,working,2,2
PGS08,PowerGen/Substation,LowVoltageElectricitySubstationComplex,50.681092,-1.5152298,3,,working,2,0
TRF01,Transport-Ferry,FerryPort,50.759141,-1.2905877,3,TRF02,working,0,0
TRF02,Transport-Ferry,FerryPort,50.763106,-1.2960338,3,TRF01,working,0,0
TRF03,Transport-Ferry,FerryPort,50.733355,-1.214176,3,TRF04,working,0,0
TRF04,Transport-Ferry,FerryPort,50.733093,-1.1585777,3,TRF03,working,0,0
TRR01,Transport-Rail,RailwayStation,50.7120355,-1.1556234,2,TRR02,working,0,0
TRR02,Transport-Rail,RailwayStation,50.6778101,-1.13924,2,TRR03,working,0,2
TRR03,Transport-Rail,RailwayStation,50.6338303,-1.1800243,2,TRR04,working,0,2
TRR04,Transport-Rail,RailwayStation,50.7120853,-1.155454,2,,working,0,0
TRR05,Transport-Rail,RailwayStation,50.7049841,-1.2135358,2,,working,0,2
TRR06,Transport-Rail,RailwayJunction,50.7061094,-1.2173894,2,,working,0,2
TRR07,Transport-Rail,RailwayJunction,50.706016,-1.2177935,2,,working,0,2
TRR08,Transport-Rail,RailwayJunction,50.7375395,-1.160784,2,,working,0,0
TRR09,Transport-Rail,RailwayJunction,50.7060909,-1.2162289,2,,working,0,2
TRR10,Transport-Rail,RailwayJunction,50.7058683,-1.2157168,2,,working,0,2
TRA01,Transport-Air,Airport,50.653078,-1.1819053,2,TRA02,working,0,2
TRA02,Transport-Air,Airport,50.678218,-1.1101069,2,TRA01,working,0,2
TRB01,Transport-Bridge,Bridge,50.6205045461538,-1.27415293076923,1,,working,0,2
TRB02,Transport-Bridge,Bridge,50.7097034117647,-1.40254196470588,1,,working,0,0
TRB03,Transport-Bridge,Bridge,50.71491505,-1.22880081666667,1,,working,0,2
TRB04,Transport-Bridge,Bridge,50.7197968615385,-1.36985176153846,1,,working,0,0
TRB05,Transport-Bridge,Bridge,50.636946375,-1.36960760833333,1,,working,0,2
TRB06,Transport-Bridge,Bridge,50.64277115625,-1.39977121875,1,,working,0,2
TRB07,Transport-Bridge,Bridge,50.6671724875,-1.184764075,1,,working,0,2
HS01,Hospital,Hospital,50.711101,-1.3008871,3,,working,2,1
NH01,NursingHome,NursingHome,50.710648,-1.2811222,2,NH02,working,0,0
NH02,NursingHome,NursingHome,50.632156,-1.1825228,2,NH03,working,0,2
NH03,NursingHome,NursingHome,50.725258,-1.2339334,2,NH04,working,0,2
NH04,NursingHome,NursingHome,50.626927,-1.1832073,2,NH01,working,0,2
SCH01,School,TertiaryCollege,50.697185,-1.2941702,2,SCH07,working,0,1
SCH02,School,SecondarySchool,50.657192,-1.1672058,2,,working,0,2
SCH03,School,SecondarySchool,50.696789,-1.3152021,2,,working,0,2
SCH04,School,SecondarySchool,50.723737,-1.1744565,2,,working,0,0
SCH05,School,SecondarySchool,50.689867,-1.2931474,2,,working,0,2
SCH06,School,SecondarySchool,50.677794,-1.5424943,2,,working,0,0
SCH07,School,TertiaryCollege,50.694542,-1.3108882,2,SCH01,working,0,2
SCH08,School,SecondarySchool,50.711574,-1.2825527,2,,working,0,0
SCH09,School,TertiaryCollege,50.695746,-1.3122156,2,SCH07,working,0,2
PH01,Pharmacy,PharmaceuticalDispensary,50.724898,-1.2298024,1,PH02,working,0,2
PH02,Pharmacy,PharmaceuticalDispensary,50.761523,-1.2978536,1,PH03,working,0,0
PH03,Pharmacy,PharmaceuticalDispensary,50.68347,-1.5270671,1,PH04,working,0,0
PH04,Pharmacy,PharmaceuticalDispensary,50.750944,-1.301754,1,PH05,working,0,0
PH05,Pharmacy,PharmaceuticalDispensary,50.706162,-1.4999744,1,PH06,working,0,0
PH06,Pharmacy,PharmaceuticalDispensary,50.757807,-1.2885096,1,PH01,working,0,0
PH07,Pharmacy,PharmaceuticalDispensary,50.682316,-1.524177,1,,working,0,0
PP01,PublicPark,PublicPark,50.700407,-1.2872684,0,,working,0,1
PP02,PublicPark,PublicPark,50.723035,-1.1444492,0,,working,0,0
PP03,PublicPark,PublicPark,50.705239,-1.2847594,0,,working,0,0
PP04,PublicPark,PublicPark,50.65372,-1.1620472,0,,working,0,2
BSC01,Business/Commercial,IndustrialSpace,50.7013368,-1.29801860833333,1,BSC02,working,0,2
BSC02,Business/Commercial,IndustrialSpace,50.662767,-1.15015395,1,BSC03,working,0,2
BSC03,Business/Commercial,IndustrialSpace,50.7579440333333,-1.29013166190476,1,,working,0,0
BSC04,Business/Commercial,IndustrialSpace,50.63708906,-1.17914422,1,,working,0,2
BSC05,Business/Commercial,IndustrialSpace,50.5916176857143,-1.25564907142857,1,,working,0,2
BSC06,Business/Commercial,RetailKiosk,50.7184411736842,-1.15821898947368,1,,working,0,0
BSC07,Business/Commercial,RetailKiosk,50.68993195,-1.08859195,1,,working,0,1
BSC08,Business/Commercial,RetailKiosk,50.6994536714286,-1.29576244285714,1,,working,0,2
BSC09,Business/Commercial,RetailKiosk,50.7580166142857,-1.28779830714286,1,,working,0,0
BSC10,Business/Commercial,RetailKiosk,50.7265348333333,-1.13290701666667,1,,working,0,0
VH01,VeterinaryHospital,VeterinaryHospital,50.716788175,-1.1923577,2,VH02,working,0,1
VH02,VeterinaryHospital,VeterinaryHospital,50.6853308681818,-1.29353115909091,2,VH03,working,0,2
VH03,VeterinaryHospital,VeterinaryHospital,50.7283983285714,-1.32480678571429,2,VH04,working,0,0
VH04,VeterinaryHospital,VeterinaryHospital,50.70949225,-1.391519375,2,,working,0,0
VH05,VeterinaryHospital,VeterinaryHospital,50.6290140857143,-1.18013914285714,2,,working,0,2
FS01,FuelStation,MotorVehicleFuellingOrChargingStation,50.6341067,-1.2311143,1,FS02,working,0,2
FS02,FuelStation,MotorVehicleFuellingOrChargingStation,50.6925422923077,-1.28621656153846,1,FS03,working,0,2
FS03,FuelStation,MotorVehicleFuellingOrChargingStation,50.6622402652174,-1.15198319565217,1,FS04,working,0,2
FS04,FuelStation,MotorVehicleFuellingOrChargingStation,50.7508388481481,-1.55314336111111,1,,working,0,0
FS05,FuelStation,MotorVehicleFuellingOrChargingStation,50.709619450289,-1.14460328439306,1,,working,0,0
FS06,FuelStation,MotorVehicleFuellingOrChargingStation,50.72944635,-1.153399375,1,,working,0,0
FS07,FuelStation,MotorVehicleFuellingOrChargingStation,50.6466378113333,-1.182754882,1,,working,0,2
GS01,GasSupply,GasDistributionComplex,50.753241,-1.3347356,3,,working,0,0
